,predicted
10,10
20,20
3,3
17,17
18,18
11,11
13,13
17,17
1,1
3,3
0,7
4,4
16,16
15,15
3,3
20,20
16,16
4,4
15,15
3,3
15,15
19,19
17,17
1,1
8,8
3,3
13,13
1,1
19,19
1,1
15,15
11,11
11,11
8,8
16,16
1,1
0,15
7,7
11,11
4,4
3,3
11,11
18,18
3,3
0,15
20,20
20,20
18,18
15,15
1,1
17,18
16,16
18,18
3,3
19,19
10,10
11,11
17,17
11,11
0,18
20,20
17,17
3,3
15,15
3,3
19,19
4,4
11,11
15,15
17,17
0,14
3,3
8,8
11,11
1,1
3,3
17,17
15,15
8,8
0,14
20,20
16,17
16,16
1,1
8,8
15,15
0,5
17,17
0,15
18,18
19,19
7,7
18,18
5,4
13,13
17,17
3,3
0,16
17,17
19,19
20,20
1,1
17,17
3,3
0,18
18,18
10,10
8,8
0,16
3,3
3,3
15,15
17,17
15,15
0,17
15,15
3,3
11,11
3,3
8,8
1,6
3,3
15,15
19,19
3,3
19,19
4,4
3,3
1,1
17,17
19,19
3,3
5,5
11,11
3,3
14,14
20,20
16,16
11,11
5,5
5,5
0,9
3,3
0,0
3,3
3,3
3,3
11,11
18,18
17,17
19,19
11,11
3,3
19,19
8,8
0,20
3,3
11,11
4,4
11,11
1,1
1,1
19,19
5,5
17,17
16,16
11,11
3,3
15,15
4,4
15,15
16,16
10,10
0,20
17,17
15,15
1,1
5,5
1,1
17,17
15,15
18,18
3,3
0,20
5,5
15,15
1,1
4,4
17,17
8,8
0,3
16,16
7,7
13,19
19,19
13,13
15,15
15,15
0,7
17,17
17,17
11,11
3,3
13,13
16,16
13,13
3,3
3,3
16,16
11,11
1,1
11,11
15,15
15,15
3,3
17,17
18,18
3,3
15,15
18,18
0,20
3,3
17,17
0,15
8,8
20,20
15,15
15,15
8,8
15,15
15,15
17,17
3,3
17,17
15,15
3,3
17,17
1,1
5,5
4,4
3,3
1,1
0,20
1,1
6,6
0,1
5,5
18,18
7,7
3,3
15,15
18,18
3,3
0,19
18,18
13,19
8,8
15,15
0,15
17,17
17,17
3,3
8,8
11,11
7,7
4,4
15,15
1,1
15,15
3,3
19,19
15,15
3,3
3,3
0,20
1,1
15,15
6,6
20,20
8,8
11,11
3,3
0,19
15,15
6,6
17,17
1,1
3,3
0,7
3,3
15,15
15,15
1,1
4,4
0,19
15,15
15,15
15,15
11,11
15,15
16,16
11,11
10,10
1,1
3,3
3,3
19,19
17,17
15,15
18,18
8,8
15,15
17,17
15,15
3,3
20,20
7,7
17,17
3,3
4,4
2,2
0,15
1,1
11,11
20,20
3,3
15,15
3,3
14,13
5,5
16,17
18,18
19,19
3,3
15,15
11,11
0,14
16,16
15,15
0,4
7,7
8,8
0,7
16,16
4,4
17,17
17,17
17,17
1,1
4,4
14,14
3,3
19,13
1,1
15,15
20,20
3,3
1,1
11,11
18,18
3,3
13,13
3,3
6,6
14,14
15,15
3,3
19,19
17,17
11,11
13,13
1,1
11,11
18,18
14,14
20,20
0,7
17,17
1,1
15,15
14,19
16,16
3,3
3,3
1,1
15,15
1,1
18,18
3,3
17,17
15,15
15,15
3,3
4,4
16,16
16,16
3,3
15,15
15,15
0,18
0,15
11,11
13,13
8,8
3,3
5,4
15,15
11,11
0,20
16,16
13,13
18,18
15,15
8,8
8,8
6,6
19,19
3,3
1,1
0,16
15,15
3,3
3,3
15,15
3,3
16,16
13,13
17,17
10,10
18,18
14,14
4,4
17,17
18,18
3,3
2,2
3,3
11,11
3,3
2,2
3,3
3,3
18,18
0,20
17,17
15,15
15,15
3,3
0,20
15,15
15,15
3,3
17,17
3,3
3,3
4,4
3,3
18,18
0,20
11,11
3,3
3,3
3,3
16,16
0,15
1,1
15,15
1,1
17,17
20,13
16,16
3,3
16,16
11,11
1,1
3,3
11,12
16,16
17,17
3,3
17,17
2,2
19,19
15,15
16,16
0,20
0,13
13,13
8,8
18,18
8,8
2,2
1,1
3,3
3,3
0,7
1,1
5,5
17,16
11,11
8,8
0,20
4,4
1,1
14,14
14,14
3,3
4,4
18,18
15,15
0,12
3,3
11,11
0,7
17,17
13,13
19,19
16,16
17,17
11,11
19,19
15,15
3,3
11,11
13,13
0,20
15,15
8,8
3,3
17,17
3,3
3,3
4,4
20,20
20,20
8,8
10,6
3,3
4,3
17,17
3,3
3,3
3,3
16,16
4,4
3,3
0,7
15,15
17,17
1,1
16,16
17,17
8,8
15,15
13,13
0,14
17,17
3,3
11,11
1,1
17,17
0,12
20,20
17,17
11,11
17,17
15,15
11,11
17,17
2,2
3,3
3,3
18,18
17,17
15,15
18,18
19,19
15,15
11,11
4,4
19,19
0,15
12,11
7,7
4,4
17,17
15,15
5,5
3,3
20,20
0,16
3,3
17,17
4,4
18,18
20,20
17,17
3,3
3,3
1,1
15,15
13,13
16,16
4,4
17,17
2,2
1,1
8,8
16,16
0,8
3,3
3,3
4,4
15,15
1,1
0,15
3,3
3,3
19,19
6,6
15,15
1,1
18,18
8,8
17,17
10,10
17,17
3,3
16,18
7,7
20,20
17,17
11,11
0,3
5,5
0,19
3,3
0,14
15,15
1,1
18,18
16,16
0,14
11,11
15,15
19,19
15,15
8,8
11,11
15,15
8,8
3,3
15,15
11,11
6,6
3,3
8,8
18,18
8,8
17,17
8,8
0,14
16,16
15,15
17,17
8,8
17,17
8,8
20,20
3,3
15,15
7,7
0,17
15,15
3,3
15,15
19,19
1,1
11,11
17,17
14,14
11,11
17,17
0,16
3,3
3,3
0,19
18,18
3,3
11,11
17,17
2,2
19,19
20,20
15,15
8,8
15,15
17,17
1,1
15,15
17,17
17,17
19,19
13,13
3,3
0,20
0,3
3,3
1,1
11,11
4,4
16,16
17,17
8,8
17,17
3,3
3,3
8,8
3,3
16,16
19,19
3,3
15,15
3,3
15,15
17,17
11,11
2,2
8,8
0,15
13,13
15,15
20,20
17,17
19,19
15,15
11,11
0,19
15,15
17,17
11,11
3,3
11,11
18,18
3,3
19,19
3,3
13,13
14,14
11,11
16,16
0,17
7,7
19,19
15,15
15,15
15,15
18,18
20,20
15,15
17,17
3,3
17,17
11,11
17,17
8,8
11,11
20,20
1,1
0,20
1,1
15,15
3,3
17,17
17,17
3,3
18,18
0,3
19,19
15,15
15,15
1,1
0,18
15,15
8,8
17,17
0,7
15,15
3,3
15,15
3,3
20,20
15,15
19,19
15,15
15,15
3,3
14,14
3,3
15,15
11,11
16,16
0,19
3,3
14,14
1,1
4,4
0,15
15,15
11,11
11,11
13,13
1,1
15,15
3,3
0,20
15,15
4,4
1,1
3,3
19,19
15,15
3,3
11,11
15,15
16,16
11,11
17,17
15,15
8,8
3,3
0,13
0,8
11,11
17,17
11,11
18,18
11,11
1,1
3,3
17,17
1,1
15,15
20,20
11,11
15,15
8,8
18,18
3,3
1,1
19,19
15,15
1,1
15,15
3,3
3,3
19,19
19,19
3,3
20,20
4,4
11,11
8,8
1,1
15,15
3,3
1,1
17,17
7,7
4,4
8,8
17,17
15,15
11,11
17,17
4,4
1,1
15,15
15,15
17,17
16,15
0,18
8,8
0,14
3,3
15,15
17,17
15,15
0,17
18,18
0,19
4,4
13,13
15,15
4,4
3,3
15,16
16,16
11,11
15,15
15,15
3,3
3,3
11,11
3,3
3,3
15,15
17,17
11,11
3,3
18,18
18,18
0,13
16,15
11,11
19,20
0,8
15,15
2,2
18,18
0,18
3,3
0,20
13,13
8,8
3,3
16,16
20,20
3,3
18,18
4,4
2,2
8,8
15,15
15,15
2,2
3,3
17,17
0,17
19,19
19,19
20,8
17,17
15,15
8,8
3,3
19,19
3,3
16,16
13,13
11,11
3,3
11,11
5,4
19,19
8,8
3,3
8,8
5,5
16,16
15,15
11,11
3,3
1,1
14,14
11,11
3,3
4,4
15,15
11,11
2,2
5,5
3,3
4,4
13,13
3,3
4,4
17,17
11,11
19,13
16,16
17,17
11,11
11,11
0,8
1,1
11,11
1,1
13,13
17,17
3,3
3,3
8,8
15,15
3,3
11,11
13,13
2,2
8,8
17,17
17,17
16,16
14,14
1,1
15,15
11,11
16,16
19,19
4,4
3,3
15,15
16,16
20,20
8,8
13,13
15,15
16,16
8,8
4,4
17,17
19,19
17,17
3,3
17,17
14,14
0,19
3,3
3,3
11,11
0,20
3,3
3,3
4,4
17,17
3,3
16,16
16,16
1,1
17,17
1,1
15,15
3,3
17,17
3,3
17,17
1,1
15,15
3,3
17,17
1,1
3,3
12,12
4,4
11,11
3,3
15,15
0,15
8,8
0,19
15,15
17,17
3,3
3,3
0,19
0,19
19,19
11,11
3,3
6,6
3,3
3,3
20,20
15,15
3,3
17,17
15,15
0,4
3,3
3,3
2,2
8,8
16,16
3,3
8,8
8,8
15,15
2,2
4,4
16,16
0,17
3,3
1,1
15,15
0,19
7,10
3,3
8,8
0,17
1,1
0,3
14,14
0,16
15,15
0,3
3,3
7,7
3,3
0,20
4,4
4,4
14,14
15,15
15,15
15,15
6,6
3,3
15,15
19,19
3,3
11,11
5,5
4,4
4,4
3,3
15,15
15,15
5,5
3,3
15,15
17,17
11,11
3,3
20,20
3,3
16,16
2,2
18,18
11,11
14,14
3,3
11,11
1,1
18,18
18,18
16,16
3,3
11,11
8,8
15,15
4,4
4,4
1,1
7,7
15,15
5,5
15,15
18,18
1,1
15,15
15,15
15,15
8,8
1,1
15,15
17,17
11,11
20,0
3,3
17,17
11,11
16,16
0,13
13,13
18,18
3,3
0,3
15,15
1,1
3,3
3,3
17,16
13,13
3,3
19,19
3,3
3,3
15,15
3,3
11,11
15,15
13,13
17,17
14,14
0,13
8,8
11,11
4,4
15,15
14,14
15,15
3,3
1,1
16,16
3,3
16,15
19,19
8,8
13,13
17,17
16,16
8,8
13,13
16,16
4,4
4,4
2,2
17,17
17,17
4,4
16,16
15,15
3,3
0,15
17,17
3,3
17,17
17,17
15,15
0,3
3,3
15,15
3,3
17,17
20,20
17,17
16,16
2,2
11,11
15,15
17,17
17,17
8,8
20,20
11,11
14,14
11,11
19,11
3,3
3,3
17,17
2,2
8,8
0,3
3,3
11,11
16,16
11,11
13,19
0,4
0,15
3,3
11,11
8,8
19,19
14,14
17,17
4,4
0,13
17,17
3,3
2,2
3,3
15,15
3,3
2,2
0,6
15,15
18,18
1,1
3,3
20,20
17,17
18,18
17,17
20,20
19,19
14,14
0,15
11,11
3,3
0,14
18,18
8,8
17,17
3,3
15,15
15,15
19,19
19,19
8,8
4,4
3,3
11,11
16,16
3,3
17,17
1,1
19,19
0,19
17,17
18,18
7,7
12,12
1,1
7,7
3,3
6,6
16,16
18,18
18,18
3,3
1,1
5,4
17,16
7,7
18,18
3,3
3,3
15,15
1,1
3,3
17,17
3,3
18,18
15,15
3,3
16,16
8,8
4,4
3,3
5,5
3,3
0,3
3,3
0,14
0,20
3,3
13,13
11,11
15,15
2,2
15,15
15,15
19,19
16,17
11,11
13,13
4,4
0,14
13,13
17,17
13,13
3,3
11,11
20,20
6,6
1,1
1,1
4,4
0,14
13,13
0,5
17,17
17,17
18,18
1,1
0,20
15,15
0,11
5,5
10,10
15,15
16,17
0,3
11,11
3,3
4,4
4,4
18,18
3,3
19,19
20,20
0,13
15,15
16,16
18,18
15,15
13,13
18,18
12,13
15,15
3,3
0,11
3,3
17,17
15,15
1,1
0,3
15,15
4,4
3,3
3,3
15,15
3,3
0,1
15,15
4,4
15,15
15,15
16,16
3,3
4,4
11,11
15,15
3,3
1,1
3,3
3,3
11,11
14,14
19,19
1,1
15,15
7,7
3,3
16,16
0,16
8,8
3,3
18,18
4,4
4,4
17,17
16,15
20,20
8,8
0,19
17,17
20,13
4,4
0,18
17,17
8,8
8,8
0,7
14,14
15,15
2,2
5,5
17,17
11,11
15,15
3,3
17,17
8,8
11,11
3,3
20,20
20,20
3,3
16,16
5,5
8,8
3,3
0,17
18,18
0,17
11,11
1,1
17,17
0,14
1,1
5,5
18,18
20,20
13,13
4,3
4,4
18,18
3,3
11,11
3,3
0,20
17,17
17,20
5,5
3,3
19,19
17,17
3,3
8,8
17,17
18,18
17,17
11,11
1,1
3,3
8,8
1,1
1,1
3,3
19,19
3,3
1,1
17,17
6,6
8,8
2,2
17,17
14,14
19,19
16,16
19,19
3,3
8,8
3,3
1,1
7,7
3,3
1,1
0,20
13,13
15,15
3,3
3,3
11,11
4,3
11,11
4,4
0,20
3,3
1,1
16,16
18,18
3,3
9,9
20,20
11,11
15,15
5,5
15,15
4,4
14,14
17,17
3,3
17,17
0,15
1,1
18,18
14,14
17,17
17,17
17,17
3,3
14,14
1,1
4,4
15,15
1,1
16,16
16,17
3,3
0,16
17,17
18,18
1,1
15,15
7,7
8,8
1,1
3,3
3,3
15,15
8,8
0,18
0,17
9,10
2,2
0,5
3,3
15,15
8,8
15,15
18,18
3,3
17,17
3,3
17,17
14,14
11,11
16,16
17,17
0,19
17,17
4,4
1,1
20,20
16,16
17,17
8,8
6,9
0,1
18,18
3,3
19,19
15,15
7,7
1,1
3,3
17,17
17,17
15,15
20,20
0,3
4,3
3,3
15,15
13,13
8,8
8,8
2,2
16,16
15,15
17,17
11,11
7,7
7,20
0,13
17,17
1,1
16,16
17,17
1,1
15,15
3,3
17,17
3,3
14,14
15,15
4,4
11,11
1,1
11,11
17,17
3,3
17,17
15,15
18,18
3,3
18,18
11,11
19,19
19,19
3,3
8,8
3,3
3,3
4,4
3,3
3,3
17,17
20,20
8,8
15,15
4,4
19,19
18,18
17,17
18,18
3,3
13,13
13,13
1,1
0,15
18,18
16,16
3,3
3,3
18,18
18,18
18,18
15,15
8,8
3,3
16,16
0,15
0,8
8,8
1,1
11,11
15,15
1,1
3,3
15,15
3,3
5,5
16,16
4,4
3,3
15,15
1,1
3,3
19,19
3,3
16,16
16,16
19,19
15,15
10,10
15,15
8,8
0,17
11,11
15,15
15,15
18,18
15,15
0,8
15,15
16,16
15,15
16,17
19,19
18,18
15,15
8,8
14,14
3,3
15,15
1,1
15,15
15,15
19,19
17,17
5,5
3,3
15,15
14,14
8,8
15,15
3,3
19,19
20,20
16,16
20,20
1,1
17,17
17,16
5,4
3,3
8,8
11,11
14,14
11,11
20,20
18,18
15,15
13,13
3,3
3,3
4,4
3,3
17,17
0,19
17,17
3,3
20,20
1,1
6,6
18,18
8,8
4,4
4,4
3,3
11,11
16,16
1,1
15,15
4,4
3,3
20,20
17,17
0,7
11,11
1,1
17,17
15,15
15,15
3,3
1,1
3,3
10,10
0,17
1,1
15,15
0,8
13,13
15,15
15,15
15,15
19,19
8,8
1,1
3,3
1,1
4,4
5,5
17,17
19,19
3,3
17,17
0,3
1,1
8,8
20,20
18,18
19,19
3,3
13,13
13,13
15,15
8,8
6,6
16,16
3,3
3,3
10,10
0,2
4,4
15,15
3,3
16,16
2,1
1,1
3,3
17,17
19,19
0,13
15,15
8,8
17,17
8,8
15,15
3,3
17,17
13,13
0,11
17,17
13,13
15,15
5,5
15,15
4,4
3,3
15,15
0,13
4,4
5,5
8,8
8,8
18,17
10,10
3,3
20,20
20,20
13,13
3,3
4,4
19,19
15,15
15,15
15,15
17,17
1,1
13,19
18,18
4,4
15,15
19,19
15,15
3,3
19,0
15,15
15,15
18,18
19,19
4,4
3,3
8,8
20,20
15,15
14,14
15,15
11,11
17,17
15,15
10,10
11,11
16,16
7,7
17,17
3,3
3,3
1,1
3,3
3,3
15,15
3,3
7,7
18,18
18,18
18,18
0,5
0,15
11,11
15,15
3,3
1,1
1,1
15,15
3,3
14,19
18,18
11,11
19,19
11,11
15,15
1,1
15,15
15,15
3,3
3,3
0,3
3,3
4,4
17,17
3,3
16,15
15,15
8,8
8,8
3,3
15,15
3,3
3,3
11,11
15,15
3,3
15,15
14,14
15,15
14,14
19,11
3,3
0,7
8,8
3,3
17,17
3,3
8,8
3,3
15,15
15,15
11,11
17,17
18,18
15,15
8,8
19,19
3,3
15,15
0,8
17,17
3,3
15,15
12,13
11,11
15,16
11,11
20,20
1,1
3,3
19,19
3,3
3,3
19,19
11,11
15,15
1,1
17,17
1,1
19,19
16,16
3,3
15,15
15,15
18,18
10,10
20,20
15,15
15,15
3,3
11,11
5,5
18,17
3,3
17,17
16,16
4,4
15,15
3,3
3,3
15,15
3,3
19,19
3,3
8,8
3,3
8,8
18,18
15,15
13,13
1,1
15,15
20,20
11,11
3,3
19,19
18,18
17,17
5,5
3,3
13,13
13,13
3,3
8,8
0,3
4,4
3,3
2,1
11,11
8,8
17,17
15,15
15,15
7,7
10,10
18,18
0,10
18,18
8,8
13,13
17,17
8,8
1,1
0,14
17,17
1,1
8,8
3,3
18,18
3,3
5,5
16,16
11,11
0,17
16,16
15,15
11,11
15,15
15,15
19,19
7,7
11,11
3,3
17,17
16,16
16,16
15,15
13,14
3,3
17,17
3,3
1,1
15,15
18,18
16,16
0,20
0,20
19,19
7,7
17,17
16,16
1,1
15,15
3,3
7,7
8,8
2,2
17,17
17,17
17,17
15,15
15,15
3,3
17,17
3,3
16,16
1,1
15,15
0,13
3,3
3,3
14,14
11,11
3,3
19,19
17,17
15,15
19,19
3,3
3,3
17,17
16,16
3,3
17,17
0,3
3,3
0,19
8,8
11,11
18,18
3,3
0,7
16,16
0,8
15,15
3,3
3,3
3,3
11,11
3,3
11,11
15,15
0,8
8,8
11,11
15,15
17,17
4,4
8,8
15,15
14,14
8,8
17,17
0,20
0,7
15,15
3,3
18,18
13,13
0,16
19,19
15,15
3,3
15,15
17,17
8,8
1,1
5,5
2,2
1,1
0,17
2,2
17,17
3,3
1,1
17,17
19,19
8,8
0,3
15,15
3,3
3,3
17,16
17,17
7,7
8,8
3,3
11,11
8,8
19,14
17,17
0,19
17,17
0,14
4,4
0,6
19,19
2,2
2,2
15,15
19,19
3,3
15,15
11,11
16,16
14,14
17,17
17,17
14,14
8,8
4,4
8,8
18,18
1,1
16,16
0,5
3,3
5,5
0,15
16,16
3,3
20,20
8,8
1,1
15,15
11,11
2,2
3,3
11,11
11,11
15,15
18,18
0,8
3,3
3,3
3,3
0,15
3,3
15,15
11,11
11,11
11,11
17,17
20,20
1,1
11,11
20,20
15,15
8,8
17,17
17,17
18,18
9,6
1,1
4,5
17,17
15,15
3,3
8,8
8,8
4,4
8,8
1,1
0,19
15,15
17,17
0,17
17,17
3,3
3,3
3,3
16,16
0,20
15,15
8,8
17,17
14,14
8,8
0,17
7,7
0,18
15,15
0,20
14,14
19,19
19,19
19,19
17,17
16,16
15,15
5,5
15,15
15,15
1,1
17,17
15,15
3,3
14,14
15,15
18,18
1,1
4,4
18,18
17,17
16,16
3,3
17,17
8,8
15,15
0,8
18,18
3,3
18,18
0,19
17,17
15,15
14,14
8,8
1,1
0,20
3,3
8,8
0,14
0,14
11,11
17,17
16,16
3,3
11,11
15,15
16,16
15,15
17,17
4,4
15,15
15,15
1,1
20,20
1,1
1,1
3,3
0,18
2,2
20,20
3,3
15,15
0,12
17,17
19,19
1,1
3,3
0,17
3,3
0,20
8,8
5,5
16,16
3,3
18,18
3,3
1,1
15,15
3,3
8,8
3,3
14,14
0,13
13,13
18,18
0,7
3,3
11,11
17,17
18,18
0,19
8,8
0,8
8,8
3,3
18,18
15,15
14,14
15,15
1,1
10,10
15,15
11,11
3,3
20,20
15,15
17,17
7,7
1,1
7,7
5,5
3,3
1,2
11,11
3,3
16,16
11,11
0,0
19,19
4,4
11,11
15,15
17,17
17,17
3,3
15,15
18,18
17,17
8,8
3,3
11,11
15,15
3,3
3,3
15,15
19,19
3,3
20,20
3,3
11,11
6,6
15,15
18,18
11,11
1,1
3,3
19,19
14,14
11,11
17,17
3,3
17,17
3,3
13,13
17,17
20,20
20,20
11,11
1,1
1,1
3,3
3,3
13,13
17,17
5,5
11,11
15,15
0,7
3,3
4,4
3,3
20,20
3,3
17,17
3,3
15,15
15,15
1,2
8,8
10,10
0,20
14,14
5,5
17,17
0,7
5,5
15,15
0,14
11,11
15,15
17,17
3,3
3,3
3,3
15,15
1,1
3,3
1,1
17,17
14,13
17,17
0,11
15,15
4,4
3,3
2,2
16,16
4,4
1,1
3,10
3,3
1,9
19,19
17,17
16,16
1,1
3,3
4,4
8,8
3,3
4,4
3,3
20,20
3,3
16,16
3,3
4,4
15,15
15,15
3,3
17,17
17,17
17,17
3,3
17,17
0,14
8,8
3,3
15,15
3,3
9,6
19,19
17,17
17,17
4,4
19,19
8,8
19,19
18,18
11,11
2,2
3,3
15,15
3,3
20,20
11,11
0,4
11,11
15,15
1,1
17,17
17,17
0,6
15,15
16,16
15,15
1,1
8,8
1,1
3,3
15,15
0,19
15,15
15,15
15,15
2,2
16,16
11,11
11,11
8,8
17,17
1,1
8,8
7,7
3,3
14,14
5,5
1,1
0,3
8,8
15,15
5,5
3,3
15,16
19,19
4,4
15,15
10,8
3,3
17,17
14,14
2,2
3,3
16,16
4,4
2,2
0,20
14,14
17,17
15,15
8,8
15,15
15,15
20,20
0,7
17,17
17,17
0,13
8,8
1,1
8,8
3,3
3,3
8,8
1,1
19,19
1,1
3,3
17,17
18,18
0,12
0,8
7,7
0,20
19,19
15,15
0,15
13,13
11,11
20,20
19,19
0,20
3,3
6,6
3,3
4,4
3,3
15,15
0,12
15,15
0,14
3,3
15,15
15,15
8,8
0,13
4,4
18,18
18,18
16,18
16,16
3,3
15,15
8,8
3,3
3,3
17,17
7,7
5,5
18,18
19,19
8,8
8,8
3,3
15,15
5,5
3,3
10,10
0,8
3,3
15,15
7,7
2,2
15,15
11,11
19,19
17,17
3,3
15,15
3,3
3,3
3,3
1,1
8,8
8,8
16,17
1,1
17,17
20,20
13,13
1,1
11,11
5,5
16,16
11,11
3,3
2,2
7,7
16,16
0,19
3,3
3,3
16,16
15,15
11,11
8,8
1,1
18,18
17,17
3,3
8,8
17,17
19,14
4,4
18,18
17,18
17,17
16,16
15,15
18,18
3,3
4,4
17,17
7,7
11,11
19,19
15,15
15,15
5,5
0,14
15,15
1,1
1,1
0,19
3,3
18,18
15,15
11,11
8,8
11,11
0,19
0,17
17,17
3,3
3,3
20,20
8,8
18,18
17,17
15,15
15,15
15,15
16,16
0,14
18,18
3,3
15,15
11,11
0,8
16,16
0,14
1,1
18,18
17,17
5,5
0,12
3,3
15,15
17,17
14,14
1,1
15,15
11,11
11,11
3,3
11,11
13,13
20,20
20,20
17,17
3,3
19,19
0,19
3,3
18,18
3,3
15,16
3,3
15,15
17,17
1,2
11,11
17,16
3,3
17,17
0,11
11,11
20,20
19,19
8,8
0,20
15,15
18,18
15,15
11,11
15,15
14,14
17,17
17,17
16,16
11,11
0,20
11,11
4,4
2,2
0,15
17,17
1,1
18,18
0,3
15,15
3,3
17,17
1,1
7,7
13,13
3,3
20,20
3,3
0,3
1,1
0,15
19,19
4,4
16,17
3,3
13,13
0,17
19,19
17,17
20,20
15,15
17,17
15,15
13,13
14,14
3,3
18,18
7,8
4,4
19,19
19,19
16,16
13,13
17,17
3,3
8,8
9,9
0,8
15,15
3,3
15,15
0,1
19,19
3,3
18,18
15,15
5,5
0,17
15,15
3,3
1,1
0,15
18,18
19,19
19,19
20,20
19,19
0,20
3,3
17,17
3,3
17,17
3,3
3,3
11,11
1,1
11,11
11,11
1,1
3,3
0,15
3,3
19,19
15,15
18,18
3,3
15,15
3,3
15,15
0,3
15,15
8,8
3,3
13,13
1,1
3,3
18,18
5,5
6,6
15,15
1,1
3,3
19,19
15,15
17,17
18,17
18,18
3,3
3,3
19,19
13,13
15,15
13,13
3,3
8,8
15,15
8,8
7,7
8,8
3,3
19,19
17,17
15,15
3,3
14,14
15,15
1,1
0,7
1,1
3,3
3,3
0,20
16,16
18,18
11,11
0,20
19,19
0,13
15,15
17,17
17,17
3,3
11,11
8,8
15,15
1,1
17,17
0,14
16,16
4,4
3,3
15,15
7,7
3,3
18,18
3,3
3,3
18,18
20,20
4,4
11,11
3,3
8,8
15,15
18,18
19,19
19,19
15,15
15,15
13,12
16,16
3,3
15,15
3,3
1,1
15,15
7,7
17,17
3,3
3,3
11,11
16,16
11,11
19,19
20,20
8,8
1,1
18,18
0,20
8,8
15,15
14,19
15,15
15,15
11,11
3,3
15,15
20,20
1,1
3,3
0,15
3,3
3,3
15,15
20,20
1,1
3,3
15,15
3,3
15,15
1,1
19,19
1,1
3,3
3,3
8,8
11,11
0,15
3,3
19,19
3,3
17,17
1,1
15,15
15,15
16,16
17,17
1,1
3,3
1,1
1,1
4,4
17,17
3,3
1,1
14,14
17,17
16,16
16,16
0,15
17,17
4,4
17,17
15,15
1,1
3,3
18,18
4,4
17,17
17,17
19,19
1,1
15,15
0,19
0,3
17,17
15,15
3,3
1,1
15,15
7,7
15,15
17,17
19,19
1,1
20,20
19,19
15,15
0,20
4,4
0,20
7,7
8,8
4,4
17,17
13,13
15,15
8,8
8,8
0,7
15,15
19,19
3,3
1,1
17,17
11,11
2,2
8,8
8,8
13,19
6,6
8,8
17,17
17,17
18,18
16,16
3,3
15,15
1,1
3,3
0,8
5,5
3,3
15,15
0,8
0,11
16,16
15,15
3,3
11,11
17,17
19,19
13,13
15,15
1,1
15,15
3,3
15,15
4,4
17,17
8,8
4,5
20,20
17,17
0,7
3,3
3,3
18,18
13,13
0,18
15,15
18,18
17,17
0,3
11,11
11,11
3,3
15,15
1,1
15,15
18,18
17,20
15,15
3,3
5,5
3,3
15,15
18,18
3,3
15,15
1,1
17,17
3,3
0,15
14,19
0,7
16,17
15,15
13,12
3,3
20,20
9,9
3,3
3,3
3,3
20,20
1,1
3,3
15,15
3,3
3,3
3,3
0,3
8,8
15,15
4,4
1,1
13,13
3,3
3,3
15,16
11,11
3,3
11,11
19,19
0,17
18,18
19,19
3,3
17,17
20,20
8,8
8,8
13,13
0,10
11,11
3,3
1,1
3,3
19,19
8,8
15,15
17,17
16,15
4,4
15,15
0,15
1,1
20,20
0,8
7,7
5,1
11,11
10,10
5,5
1,1
3,3
0,7
3,3
11,11
17,17
3,3
16,16
15,15
11,11
17,17
4,4
15,15
3,3
17,17
4,4
0,15
3,3
0,19
4,4
0,7
8,8
1,1
3,3
0,15
1,1
15,15
15,15
1,1
4,4
18,18
5,5
17,17
2,2
20,20
17,17
16,16
20,20
17,17
15,15
3,3
3,3
0,12
15,15
17,17
7,7
0,4
17,17
15,15
15,15
0,14
6,6
3,3
15,15
0,17
15,15
7,7
5,5
2,2
8,8
3,3
4,4
1,1
17,17
15,15
3,3
0,10
0,3
1,1
15,15
17,17
3,3
12,12
15,15
20,20
0,14
3,3
3,3
0,14
8,8
1,1
7,7
15,15
18,18
14,14
5,5
0,7
4,4
15,15
3,3
5,5
16,16
3,3
3,3
3,3
2,2
19,19
3,3
19,19
17,17
1,1
3,3
1,1
0,5
16,16
14,14
4,4
0,13
5,5
3,3
11,11
15,15
15,15
3,3
3,3
5,5
16,16
3,3
15,15
0,19
3,3
15,15
15,15
3,3
17,17
0,8
18,18
10,4
16,16
3,3
0,19
8,8
15,15
17,17
11,11
3,3
3,3
16,16
3,3
8,8
3,3
6,6
1,1
3,3
17,17
3,3
17,17
14,14
13,13
1,1
1,1
1,1
3,3
15,15
17,17
18,18
8,8
15,15
15,15
11,11
2,2
3,3
16,16
2,2
15,15
18,18
0,14
11,11
15,15
1,1
11,11
15,15
19,19
3,3
1,1
15,15
11,11
16,17
0,11
11,11
3,3
18,18
11,11
19,19
0,7
15,15
16,16
17,17
7,7
4,4
18,18
1,1
12,11
17,17
11,11
3,3
15,15
8,8
1,1
3,3
15,15
4,4
15,15
6,6
3,3
1,1
15,15
0,11
17,17
17,17
17,17
5,5
2,2
4,4
5,5
13,13
19,19
8,8
19,19
0,10
17,17
1,1
4,4
13,13
3,3
16,16
3,3
1,1
17,17
3,3
19,19
0,3
0,13
3,3
11,11
0,15
0,13
11,11
17,17
15,15
15,15
18,18
1,1
1,1
3,3
0,15
15,15
4,4
17,17
19,19
19,19
15,15
1,1
3,3
0,18
2,2
20,20
17,17
1,1
4,4
8,8
15,15
2,2
15,15
8,8
3,3
